event,begin,end
Champions_League,2018-07-24 19:30:00,2018-07-24 21:15:00
Champions_League,2018-07-24 20:00:00,2018-07-24 21:45:00
Champions_League,2018-07-24 20:15:00,2018-07-24 22:00:00
Champions_League,2018-07-24 20:30:00,2018-07-24 22:15:00
Champions_League,2018-07-24 21:00:00,2018-07-24 22:45:00
Champions_League,2018-07-25 19:00:00,2018-07-25 20:45:00
Champions_League,2018-07-25 19:00:00,2018-07-25 20:45:00
Champions_League,2018-07-25 19:00:00,2018-07-25 20:45:00
Champions_League,2018-07-25 20:30:00,2018-07-25 22:15:00
Champions_League,2018-07-25 20:45:00,2018-07-25 22:30:00
Champions_League,2018-07-31 19:00:00,2018-07-31 20:45:00
Champions_League,2018-07-31 19:00:00,2018-07-31 20:45:00
Champions_League,2018-07-31 20:30:00,2018-07-31 22:15:00
Champions_League,2018-08-01 18:00:00,2018-08-01 19:45:00
Champions_League,2018-08-01 19:00:00,2018-08-01 20:45:00
Champions_League,2018-08-01 19:00:00,2018-08-01 20:45:00
Champions_League,2018-08-01 19:00:00,2018-08-01 20:45:00
Champions_League,2018-08-01 19:30:00,2018-08-01 21:15:00
Champions_League,2018-08-01 20:00:00,2018-08-01 21:45:00
Champions_League,2018-08-01 20:00:00,2018-08-01 21:45:00
Champions_League,2018-08-01 20:30:00,2018-08-01 22:15:00
Champions_League,2018-08-01 20:45:00,2018-08-01 22:30:00
Champions_League,2018-08-07 16:00:00,2018-08-07 17:45:00
Champions_League,2018-08-07 19:00:00,2018-08-07 20:45:00
Champions_League,2018-08-07 19:15:00,2018-08-07 21:00:00
Champions_League,2018-08-07 19:30:00,2018-08-07 21:15:00
Champions_League,2018-08-07 20:00:00,2018-08-07 21:45:00
Champions_League,2018-08-07 20:30:00,2018-08-07 22:15:00
Champions_League,2018-08-07 21:00:00,2018-08-07 22:45:00
Champions_League,2018-08-08 19:00:00,2018-08-08 20:45:00
Champions_League,2018-08-08 19:00:00,2018-08-08 20:45:00
Champions_League,2018-08-08 20:45:00,2018-08-08 22:30:00
Champions_League,2018-08-14 18:30:00,2018-08-14 20:15:00
Champions_League,2018-08-14 19:00:00,2018-08-14 20:45:00
Champions_League,2018-08-14 19:30:00,2018-08-14 21:15:00
Champions_League,2018-08-14 20:00:00,2018-08-14 21:45:00
Champions_League,2018-08-14 20:00:00,2018-08-14 21:45:00
Champions_League,2018-08-14 20:00:00,2018-08-14 21:45:00
Champions_League,2018-08-14 20:00:00,2018-08-14 21:45:00
Champions_League,2018-08-14 20:15:00,2018-08-14 22:00:00
Champions_League,2018-08-14 20:30:00,2018-08-14 22:15:00
Champions_League,2018-08-14 20:30:00,2018-08-14 22:15:00
Champions_League,2018-08-21 21:00:00,2018-08-21 22:45:00
